SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP
PAST SALE,Condo/Co-op,1207 Republic St Unit 201B,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1407 Vine St #303,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1908 Dunlap St Unit 1W,Cincinnati,OH,45214
PAST SALE,Condo/Co-op,15 W Fourth St #205,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1509 Pleasant St #155,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,33 E Court St #204,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1326 Vine St #7,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1222 Republic St #3,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,131 W Fifteenth St Unit 4B,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,11 E Court St #304,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1409 Republic St,Cincinnati,OH,45202
PAST SALE,Multi-Family (2-4 Unit),632 Race St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 W Fourth St #210,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1508 Race St Unit 3R,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 W Fourth St #304,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,11 E Court St #302,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1214 Vine St #9,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,215 Wade St #6,Cincinnati,OH,45202
PAST SALE,Townhouse,13 Mercer St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,110 E Thirteenth St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1207 Vine St Unit E,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1415 Vine St #201,Cincinnati,OH,45202
PAST SALE,Townhouse,1307 Republic St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 W Fourth St #213,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1150 Vine St #25,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,915 Vine St #303,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1523 Republic St #301,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1326 Vine St Unit A,Cincinnati,OH,45202
PAST SALE,Multi-Family (2-4 Unit),1213 Elm St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,633 Main St #3,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1415 Vine St #303,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 W Fourth St #410,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1325 Republic St,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1118 Race St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1422 Race St #7,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,26 W Fifteenth St Unit 5F,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,5 W Twelfth St #8,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1222 Republic St #8,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1302 Main St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,724 Main St #4,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1422 Race St #6,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 E Court St #2,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1232 Vine St #7,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,915 Vine St #301,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1331 Vine St #3,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1432 Race St #311,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,5 W Twelfth St #6,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,118 W 15th St,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1705 Pleasant St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,21 Mercer St #2,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1150 Vine St #12,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,33 E Court St #202,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,14 W 14th St #101,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1508 Race St Unit 2R,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,26 E Sixth St #404,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,26 E Sixth St #505,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1207 Republic St Unit 102B,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1307 Republic St #4,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,26 E 6th St #202,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 W Fourth St #403,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,19 W Court St,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1614 Elm St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1328 Republic St #302,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1237 Vine St #5,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1432 Race St #302,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,11 E Court St #301,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,104 W Ninth St Unit 4B,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1222 Republic St #6,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1201 Vine St Unit F,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,26 E Sixth St #501,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1822 Logan St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1509 Race St #206,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,36 E Court St #206,Cincinnati,OH,45202
PAST SALE,Multi-Family (2-4 Unit),1909 Race St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1408 Elm St #3,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,633 Main St #4,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1232 Vine St #3,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1326 Vine St Unit B,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1214 Vine St #12,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,116 W Fifteenth St #205,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1207 Vine St Unit D,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,637 Walnut St #2,Cincinnati,OH,45202
PAST SALE,Single Family Residential,219 Magnolia St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1150 Vine St #23,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1501 Elm St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1408 Elm St #2,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1415 Vine St #401,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1214 Vine St #1,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1432 Race St #209,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1202 Main St #14,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,30 East Central Pkwy #302,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1406 Elm St,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1510 Pleasant St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,20 W Twelfth St #22,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1516 Pleasant St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1237 Vine St #2,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,20 W Twelfth St #301,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1150 Vine St #16,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,215 Wade St #8,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1214 Vine St #5,Cincinnati,OH,45202
PAST SALE,Townhouse,15 E Court St #4,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1501 Vine St #201,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,911 Race St #4,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,50 E Court St #207,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1003 Walnut St #309,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,13 W Fifteenth St Unit A2,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1432 Race St #207,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1512 Pleasant St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 W Fourth St Unit 414W,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,15 W Fourth St #505,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,33 E Thirteenth St #301,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,32 E Court St #203,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,26 E Sixth St #604,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,915 Vine St #201,Cincinnati,OH,45202
PAST SALE,Townhouse,1124 Race St Unit 201B,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,11 E Court St #201,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,23 Mercer St #2,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1433 Pleasant St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1150 Vine St #37,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1428 Republic St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,104 W Ninth St Unit 6C,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,30 E Central Pkwy #903,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1515 Race St #301,Cincinnati,OH,45202
PAST SALE,Multi-Family (2-4 Unit),1412 Elm St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,215 Wade St #7,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,108 W Ninth St Unit 1C,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1150 Vine St #28,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1214 Vine St #8,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,18 W Thirteenth St #8,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1214 Vine St #10,Cincinnati,OH,45202
PAST SALE,Single Family Residential,218 W Fifteenth St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1122 Race St Unit 201A,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1003 Walnut St #310,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1206 Main St #4,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,215 Wade St #3,Cincinnati,OH,45202
PAST SALE,Townhouse,1407 Vine St #203,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,116 W Fifteenth St #203,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1800 Race St #301,Cincinnati,OH,45202
PAST SALE,Single Family Residential,1509 Elm St,Cincinnati,OH,45202
PAST SALE,Single Family Residential,46 W Mcmicken Ave,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,724 Main St #6,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,27 Mercer St #3,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1211 Republic St Unit 101C,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1908 Dunlap St #4,Cincinnati,OH,45214
PAST SALE,Condo/Co-op,1415 Vine St,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,1213 Vine St Unit G,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,122 W Fifteenth St #223,Cincinnati,OH,45202
PAST SALE,Condo/Co-op,19 W Court St #3,Cincinnati,OH,45202
